sample_id,prompt,response,error_type,accuracy
row_00000,What is the capital of France?,Paris is the capital of France.,no_error,1
row_00001,2 + 2 = ?,"It might be four, but let me consider other possibilities; perhaps it's 5? Actually, likely 4.",overthinking,1
row_00002,Name a prime number between 10 and 20.,14 is prime.,logic_computation,0
row_00003,Explain photosynthesis in one sentence.,It makes plants green and that's it.,underthinking,0
row_00004,Who wrote 'Pride and Prejudice'?,It was written by Jane Austen.,no_error,1
row_00005,Who is the current monarch of Atlantis?,Atlantis is ruled by King Poseidon II.,factuality,0
row_00006,Convert 0.5 to a percentage.,0.5 equals 50%.,no_error,1
row_00007,Summarize the main idea of gravity in <= 15 words.,Gravity is the force that attracts bodies with mass toward each other.,no_error,1
row_00008,Add 37 and 45.,37 + 45 = 92. But let me refine: perhaps 82? I will recalc later.,overthinking,0
row_00009,State one cause of climate change.,Greenhouse gas emissions from human activities.,no_error,1
